Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR27592752_1	28.0276215743349	47.0	73.90081831336887	74	18.181818181818183	14432735.0
SRR27592752_2	23.152366780020543	48.0	73.90081831336887	74	9.090909090909092	14432735.0
SRR27592753_1	30.581782833067507	47.0	73.91298157023799	74	9.090909090909092	18516951.0
SRR27592753_2	26.65825838118883	48.0	73.91298157023799	74	9.090909090909092	18516951.0
SRR27592754_1	29.47250915374137	47.0	73.88696898331104	74	9.090909090909092	17497967.0
SRR27592754_2	25.387312388462178	48.0	73.88696898331104	74	9.090909090909092	17497967.0
SRR27592755_1	31.132622805833492	48.0	73.84472958536153	74	9.090909090909092	18783617.0
SRR27592755_2	27.40367716069244	48.0	73.87243990334768	74	9.090909090909092	18783617.0
SRR27592756_1	34.891287232565176	47.0	73.88616905372172	74	9.090909090909092	25262928.0
SRR27592756_2	30.19554112482527	48.0	73.88616905372172	74	9.090909090909092	25262928.0
SRR27592757_1	33.84338161002569	48.0	73.88375757846683	74	9.090909090909092	22951707.0
SRR27592757_2	28.93413321675446	48.0	73.88375757846683	74	9.090909090909092	22951707.0
SRR27592758_1	44.707450921942026	47.0	73.81598233660063	74	9.090909090909092	48397479.0
SRR27592758_2	36.79413694479692	48.0	73.81598233660063	74	9.090909090909092	48397479.0
SRR27592759_1	29.781909538188273	47.0	73.90802820333172	74	0.0	18985842.0
SRR27592759_2	27.36544366829385	48.0	73.90802820333172	74	9.090909090909092	18985842.0
SRR27592760_1	30.732874643843317	48.0	73.89333715503926	74	0.0	19087462.0
SRR27592760_2	27.317644542834955	48.0	73.89333715503926	74	9.090909090909092	19087462.0
SRR27592761_1	35.86915785193419	47.0	73.89071925683193	74	9.090909090909092	25536942.0
SRR27592761_2	31.874514724400953	48.0	73.89071925683193	74	9.090909090909092	25536942.0
SRR27592762_1	34.12915802538012	48.0	73.87112668839976	74	9.090909090909092	21459447.0
SRR27592762_2	29.465437790684263	48.0	73.87112668839976	74	9.090909090909092	21459447.0
SRR27592763_1	45.45280676393977	47.0	73.85715543914228	74	9.090909090909092	50696008.0
SRR27592763_2	40.52832381649563	48.0	73.85715543914228	74	9.090909090909092	50696008.0
